Brand,Product Name,Price,Stars,Reviews,Category,Weighted_Rating
Tarte,Shape Tape Concealer,32.0,4.7,37768,Contouring,4.6994060712030095
FENTY BEAUTY by Rihanna,Match Stix Contour Skinstick,32.0,4.2,540,Contouring,4.2009235093354755
Tarte,Sculpt Tape Contour,18.0,4.2,422,Contouring,4.20115635997989
MILK MAKEUP,Sculpt Stick Cream Contour,24.0,4.7,323,Contouring,4.639135979595091
Dior,Forever Skin Contour Stick,47.0,4.6,1732,Contouring,4.589955667306293
Tarte,Sculpt Tape Contour,18.0,4.2,422,Contouring,4.20115635997989
Charlotte Tilbury,Hollywood Contour Wand,42.0,4.6,388,Contouring,4.558850637029005
e.l.f. Cosmetics,Camo Liquid Bronzer & Contour,7.0,4.6,1955,Contouring,4.591075050709939
Smashbox,"Cali Contour Blush, Highlighter, & Bronzer Face Palette",46.0,4.7,405,Contouring,4.650202165123256
NYX Professional Makeup,Wonder Stick Cream Highlight & Contour Stick,14.0,4.2,1108,Contouring,4.200468957080233
e.l.f. Cosmetics,Halo Glow Contour Beauty Wand,9.0,4.5,2787,Contouring,4.495319864620751
DIBS Beauty,GlowTour Duo Shimmering Blush + Contour Stick,38.0,4.8,1071,Contouring,4.775775448944126
Benefit Cosmetics,Boi-ing Cakeless Full Coverage Waterproof Liquid Concealer,28.0,4.4,6713,Contouring,4.398718919436394
Smashbox,Step-By-Step Contour Highlighter & Bronzer Face Palette Kit,40.0,4.3,441,Contouring,4.291665660103877
Clinique,Chubby Stick Sculpting Contour,32.0,4.0,131,Contouring,4.055034895314058
Tarte,Shape Tape Glow Wand Liquid Highlighter,32.0,4.4,1157,Contouring,4.392802307955601
Smashbox,Halo Sculpt + Glow Face Palette With Vitamin E,45.0,4.4,828,Contouring,4.390092879256966
Anastasia Beverly Hills,Matte Cream Contour & Highlight Sticks,17.5,4.1,2641,Contouring,4.101913351868473
e.l.f. Cosmetics,Contour Palette,9.0,4.0,782,Contouring,4.011764705882353
e.l.f. Cosmetics,Cream Contour Palette,9.0,4.2,384,Contouring,4.201258549931601
HOURGLASS,Ambient Lighting Palette Volume II,73.0,4.1,26,Contouring,4.171405228758171
NUDESTIX,Nudies All Over Face Color - Glow,35.0,4.4,867,Contouring,4.390516074995168
ULTA Beauty Collection,Contour Kit,20.0,4.4,7,Contouring,4.236625971143175
Essence,Contouring Duo Stick,5.99,3.0,2,Contouring,4.161274509803921
ULTA Beauty Collection,Pillow Puff Bronzing & Contour Cream Wand,12.0,3.5,2,Contouring,4.182107843137255
